ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601668.SH,20230103,5.44,5.52,5.37,5.49,5.43,0.06,1.105,1846366.84,1008600.075
601668.SH,20230104,5.49,5.65,5.45,5.6,5.49,0.11,2.0036,2199353.5,1227302.132
601668.SH,20230105,5.62,5.63,5.54,5.59,5.6,-0.01,-0.1786,1989020.85,1111074.018
601668.SH,20230106,5.59,5.62,5.51,5.52,5.59,-0.07,-1.2522,1627160.59,901817.491
601668.SH,20230109,5.54,5.56,5.47,5.53,5.52,0.01,0.1812,1499591.65,826304.794
601668.SH,20230110,5.51,5.52,5.41,5.43,5.53,-0.1,-1.8083,1359212.48,740256.277
601668.SH,20230111,5.43,5.5,5.42,5.43,5.43,0.0,0.0,1741210.52,951742.584
601668.SH,20230112,5.42,5.44,5.35,5.39,5.43,-0.04,-0.7366,1232463.35,664184.443
601668.SH,20230113,5.4,5.46,5.38,5.45,5.39,0.06,1.1132,1397426.79,757798.841
601668.SH,20230116,5.44,5.5,5.36,5.46,5.45,0.01,0.1835,2274550.1,1238689.087
601668.SH,20230117,5.44,5.46,5.36,5.39,5.46,-0.07,-1.2821,1556437.52,838579.354
601668.SH,20230118,5.39,5.44,5.36,5.37,5.39,-0.02,-0.3711,1192527.1,641836.128
601668.SH,20230119,5.35,5.39,5.31,5.39,5.37,0.02,0.3724,1805450.56,964995.159
601668.SH,20230120,5.38,5.57,5.36,5.57,5.39,0.18,3.3395,3103496.79,1705866.335
601668.SH,20230130,5.6,5.62,5.48,5.5,5.57,-0.07,-1.2567,2582196.84,1430153.054
601668.SH,20230131,5.51,5.56,5.48,5.54,5.5,0.04,0.7273,1718422.19,950353.44
601668.SH,20230201,5.55,5.58,5.48,5.57,5.54,0.03,0.5415,2055651.7,1137890.007
601668.SH,20230202,5.58,5.58,5.49,5.53,5.57,-0.04,-0.7181,1880837.99,1039081.054
601668.SH,20230203,5.5,5.51,5.39,5.41,5.53,-0.12,-2.17,1969022.59,1069562.658
601668.SH,20230206,5.37,5.44,5.34,5.4,5.41,-0.01,-0.1848,1767967.96,953174.803
601668.SH,20230207,5.4,5.52,5.38,5.5,5.4,0.1,1.8519,2207418.25,1208308.101
601668.SH,20230208,5.51,5.51,5.39,5.41,5.5,-0.09,-1.6364,1457948.79,792457.878
601668.SH,20230209,5.39,5.46,5.38,5.44,5.41,0.03,0.5545,1203366.55,653723.844
601668.SH,20230210,5.43,5.46,5.4,5.43,5.44,-0.01,-0.1838,1351476.66,733048.906
601668.SH,20230213,5.41,5.49,5.36,5.46,5.43,0.03,0.5525,2214204.57,1202687.128
601668.SH,20230214,5.46,5.52,5.44,5.49,5.46,0.03,0.5495,1487359.03,815048.401
601668.SH,20230215,5.48,5.49,5.38,5.39,5.49,-0.1,-1.8215,1747078.83,946888.086
601668.SH,20230216,5.41,5.57,5.41,5.44,5.39,0.05,0.9276,3681668.89,2026620.584
