ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000725.SZ,20230103,3.39,3.46,3.37,3.45,3.38,0.07,2.071,2046664.43,698746.291
000725.SZ,20230104,3.45,3.53,3.42,3.51,3.45,0.06,1.7391,3260499.25,1132733.355
000725.SZ,20230105,3.53,3.54,3.48,3.52,3.51,0.01,0.2849,3106137.52,1091322.601
000725.SZ,20230106,3.52,3.7,3.5,3.62,3.52,0.1,2.8409,6677180.11,2416053.037
000725.SZ,20230109,3.63,3.67,3.6,3.65,3.62,0.03,0.8287,4133621.36,1502520.754
000725.SZ,20230110,3.65,3.7,3.63,3.67,3.65,0.02,0.5479,3147709.36,1156715.918
000725.SZ,20230111,3.68,3.77,3.67,3.68,3.67,0.01,0.2725,4269132.18,1588240.564
000725.SZ,20230112,3.69,3.75,3.66,3.73,3.68,0.05,1.3587,4605942.5,1708727.275
000725.SZ,20230113,3.74,3.76,3.71,3.76,3.73,0.03,0.8043,3196691.17,1195626.319
000725.SZ,20230116,3.75,3.89,3.75,3.87,3.76,0.11,2.9255,5502902.34,2118265.09
000725.SZ,20230117,3.86,3.94,3.86,3.9,3.87,0.03,0.7752,4670212.11,1821051.429
000725.SZ,20230118,3.9,3.94,3.87,3.93,3.9,0.03,0.7692,3306062.43,1295413.727
000725.SZ,20230119,3.92,4.05,3.9,4.04,3.93,0.11,2.799,5921316.21,2363802.533
000725.SZ,20230120,4.07,4.11,3.99,4.03,4.04,-0.01,-0.2475,4413996.79,1780348.388
000725.SZ,20230130,4.07,4.13,4.03,4.08,4.03,0.05,1.2407,5628585.52,2296138.91
000725.SZ,20230131,4.03,4.04,3.95,3.98,4.08,-0.1,-2.451,6408674.69,2555330.322
000725.SZ,20230201,4.0,4.07,3.99,4.05,3.98,0.07,1.7588,4074876.03,1643737.195
000725.SZ,20230202,4.05,4.07,4.0,4.01,4.05,-0.04,-0.9877,3037651.63,1225490.201
000725.SZ,20230203,4.0,4.03,3.95,4.01,4.01,0.0,0.0,3312736.41,1320451.658
000725.SZ,20230206,3.99,4.06,3.97,4.03,4.01,0.02,0.4988,3551624.98,1429095.909
000725.SZ,20230207,4.04,4.07,4.01,4.02,4.03,-0.01,-0.2481,2457503.93,992133.573
000725.SZ,20230208,4.03,4.05,3.98,3.99,4.02,-0.03,-0.7463,2274554.72,912575.4
000725.SZ,20230209,3.99,4.1,3.98,4.09,3.99,0.1,2.5063,4744639.68,1929848.574
000725.SZ,20230210,4.09,4.14,4.07,4.08,4.09,-0.01,-0.2445,3059573.38,1254844.726
000725.SZ,20230213,4.09,4.09,4.04,4.06,4.08,-0.02,-0.4902,3006868.0,1219528.182
000725.SZ,20230214,4.06,4.09,4.03,4.06,4.06,0.0,0.0,2355191.36,954029.378
000725.SZ,20230215,4.09,4.31,4.08,4.26,4.06,0.2,4.9261,9406525.42,3999435.781
000725.SZ,20230216,4.29,4.32,4.16,4.18,4.26,-0.08,-1.8779,6143062.42,2611751.339
000725.SZ,20230217,4.18,4.22,4.1,4.11,4.18,-0.07,-1.6746,4507748.55,1868971.689
000725.SZ,20230220,4.11,4.21,4.1,4.19,4.11,0.08,1.9465,3960430.97,1650228.543
000725.SZ,20230221,4.19,4.27,4.19,4.23,4.19,0.04,0.9547,4042917.89,1710384.804
000725.SZ,20230222,4.2,4.23,4.14,4.18,4.23,-0.05,-1.182,3246841.09,1357037.384
