ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601186.SH,20230103,7.71,7.94,7.66,7.89,7.73,0.16,2.0699,797392.71,624988.889
601186.SH,20230104,7.87,7.97,7.83,7.93,7.89,0.04,0.507,620250.53,490671.708
601186.SH,20230105,7.92,8.02,7.88,7.91,7.93,-0.02,-0.2522,608838.0,482577.617
601186.SH,20230106,7.9,7.93,7.79,7.82,7.91,-0.09,-1.1378,579713.34,454830.329
601186.SH,20230109,7.83,7.86,7.76,7.78,7.82,-0.04,-0.5115,487278.55,380038.704
601186.SH,20230110,7.8,7.81,7.68,7.73,7.78,-0.05,-0.6427,433954.76,335567.713
601186.SH,20230111,7.74,7.78,7.69,7.7,7.73,-0.03,-0.3881,405751.56,313785.353
601186.SH,20230112,7.69,7.72,7.57,7.61,7.7,-0.09,-1.1688,629805.17,480140.097
601186.SH,20230113,7.6,7.69,7.57,7.69,7.61,0.08,1.0512,430493.81,328542.347
601186.SH,20230116,7.68,7.87,7.62,7.77,7.69,0.08,1.0403,852278.34,661829.465
601186.SH,20230117,7.76,7.77,7.69,7.73,7.77,-0.04,-0.5148,349004.79,269565.682
601186.SH,20230118,7.73,7.78,7.72,7.73,7.73,0.0,0.0,306540.41,237422.532
601186.SH,20230119,7.71,7.79,7.65,7.79,7.73,0.06,0.7762,440226.68,339440.179
601186.SH,20230120,7.8,8.03,7.78,8.0,7.79,0.21,2.6958,952668.82,755525.23
601186.SH,20230130,8.08,8.08,7.89,7.9,8.0,-0.1,-1.25,830798.9,661145.573
601186.SH,20230131,7.9,7.94,7.86,7.91,7.9,0.01,0.1266,425374.9,335973.594
601186.SH,20230201,7.93,8.04,7.83,8.02,7.91,0.11,1.3906,984157.39,781012.791
601186.SH,20230202,7.99,8.03,7.93,7.98,8.02,-0.04,-0.4988,705341.1,562292.105
601186.SH,20230203,7.96,7.97,7.82,7.86,7.98,-0.12,-1.5038,668987.35,526365.895
601186.SH,20230206,7.81,7.96,7.78,7.89,7.86,0.03,0.3817,582259.94,459205.814
601186.SH,20230207,7.87,8.05,7.86,8.04,7.89,0.15,1.9011,864203.69,688987.025
601186.SH,20230208,8.02,8.04,7.87,7.88,8.04,-0.16,-1.99,696148.42,552719.584
601186.SH,20230209,7.86,7.94,7.85,7.92,7.88,0.04,0.5076,446346.01,352809.908
601186.SH,20230210,7.91,8.03,7.89,7.98,7.92,0.06,0.7576,596199.5,474783.927
601186.SH,20230213,7.97,8.1,7.91,8.06,7.98,0.08,1.0025,856756.1,686967.612
601186.SH,20230214,8.05,8.06,7.97,8.02,8.06,-0.04,-0.4963,469572.75,376237.119
601186.SH,20230215,8.01,8.02,7.93,7.95,8.02,-0.07,-0.8728,441447.0,351275.828
601186.SH,20230216,7.96,8.15,7.9,7.95,7.95,0.0,0.0,1191326.85,957719.812
601186.SH,20230217,7.94,7.97,7.82,7.83,7.95,-0.12,-1.5094,705950.2,557741.75
601186.SH,20230220,7.86,8.15,7.83,8.13,7.83,0.3,3.8314,1335357.09,1076676.525
601186.SH,20230221,8.16,8.24,8.07,8.17,8.13,0.04,0.492,844353.33,688554.82
601186.SH,20230222,8.13,8.25,8.11,8.18,8.17,0.01,0.1224,667250.1,546480.99
601186.SH,20230223,8.18,8.19,8.09,8.12,8.18,-0.06,-0.7335,512829.01,416970.937
601186.SH,20230224,8.11,8.12,8.01,8.07,8.12,-0.05,-0.6158,450176.27,362749.148
601186.SH,20230227,8.05,8.12,8.01,8.02,8.07,-0.05,-0.6196,384974.89,309969.903
601186.SH,20230228,8.03,8.11,7.96,8.11,8.02,0.09,1.1222,515193.35,414091.626
601186.SH,20230301,8.09,8.31,8.09,8.29,8.11,0.18,2.2195,1159009.02,956179.877
601186.SH,20230302,8.27,8.72,8.26,8.58,8.29,0.29,3.4982,2184403.74,1866712.872
601186.SH,20230303,8.63,8.96,8.52,8.88,8.58,0.3,3.4965,2237297.59,1970604.425
601186.SH,20230306,8.95,8.97,8.68,8.74,8.88,-0.14,-1.5766,1639906.76,1445640.242
601186.SH,20230307,8.74,9.06,8.73,8.76,8.74,0.02,0.2288,2358827.61,2098445.259
601186.SH,20230308,8.67,8.8,8.6,8.78,8.76,0.02,0.2283,1010069.37,879237.982
601186.SH,20230309,8.76,8.76,8.58,8.69,8.78,-0.09,-1.0251,900236.98,779110.424
601186.SH,20230310,8.58,8.67,8.46,8.48,8.69,-0.21,-2.4166,1002498.24,856688.611
601186.SH,20230313,8.62,8.94,8.62,8.93,8.48,0.45,5.3066,1702134.49,1499321.921
601186.SH,20230314,8.87,9.16,8.83,8.92,8.93,-0.01,-0.112,1858532.19,1670197.372
601186.SH,20230315,8.92,9.59,8.74,9.51,8.92,0.59,6.6143,3205684.78,2972232.885
601186.SH,20230316,9.41,9.77,9.38,9.64,9.51,0.13,1.367,2847693.89,2731318.4
601186.SH,20230317,9.64,10.14,9.55,9.82,9.64,0.18,1.8672,2822166.28,2779744.611
601186.SH,20230320,9.97,10.39,9.67,9.71,9.82,-0.11,-1.1202,3253429.63,3253869.511
601186.SH,20230321,9.7,9.85,9.39,9.55,9.71,-0.16,-1.6478,1885603.94,1806571.645
601186.SH,20230322,9.54,9.74,9.33,9.5,9.55,-0.05,-0.5236,1636964.56,1559234.136
601186.SH,20230323,9.47,9.85,9.41,9.81,9.5,0.31,3.2632,2159944.69,2091795.692
601186.SH,20230324,9.75,9.8,9.41,9.48,9.81,-0.33,-3.3639,1835588.16,1757955.03
601186.SH,20230327,9.43,9.47,9.1,9.2,9.48,-0.28,-2.9536,1615603.72,1492461.764
601186.SH,20230328,9.29,9.36,9.18,9.22,9.2,0.02,0.2174,975636.87,904601.371
601186.SH,20230329,9.14,9.18,8.84,8.91,9.22,-0.31,-3.3623,1433130.86,1281072.602
601186.SH,20230330,8.92,9.05,8.76,9.02,8.91,0.11,1.2346,1063846.03,949920.919
