ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603160.SH,20230103,50.19,51.16,49.61,51.1,50.2,0.9,1.7928,21104.28,106944.868
603160.SH,20230104,51.09,51.85,50.5,50.81,51.1,-0.29,-0.5675,20763.33,106023.873
603160.SH,20230105,50.8,52.5,50.51,51.98,50.81,1.17,2.3027,30930.76,160250.395
603160.SH,20230106,51.98,52.37,51.6,51.67,51.98,-0.31,-0.5964,18586.6,96540.77
603160.SH,20230109,51.97,52.67,51.58,51.76,51.67,0.09,0.1742,22578.26,117368.752
603160.SH,20230110,51.75,52.57,51.5,52.08,51.76,0.32,0.6182,20201.54,105218.698
603160.SH,20230111,52.0,52.5,51.06,51.25,52.08,-0.83,-1.5937,21682.51,112233.853
603160.SH,20230112,51.25,51.76,51.0,51.34,51.25,0.09,0.1756,19731.26,101344.274
603160.SH,20230113,51.35,51.69,51.0,51.35,51.34,0.01,0.0195,12380.92,63485.058
603160.SH,20230116,51.11,52.79,51.06,52.3,51.35,0.95,1.85,38545.11,201059.338
603160.SH,20230117,52.3,53.48,52.2,52.84,52.3,0.54,1.0325,28281.54,149808.695
603160.SH,20230118,52.99,53.1,52.49,52.63,52.84,-0.21,-0.3974,14680.79,77415.461
603160.SH,20230119,52.6,53.31,52.24,53.25,52.63,0.62,1.178,22413.17,118831.406
603160.SH,20230120,53.21,53.46,52.93,53.17,53.25,-0.08,-0.1502,21218.75,112796.106
603160.SH,20230130,53.8,54.09,53.2,53.26,53.17,0.09,0.1693,27114.57,145357.424
603160.SH,20230131,52.86,53.16,51.95,52.08,53.26,-1.18,-2.2155,38166.28,199842.205
603160.SH,20230201,52.4,53.42,52.25,53.1,52.08,1.02,1.9585,35606.0,188261.922
603160.SH,20230202,53.29,54.1,53.04,53.46,53.1,0.36,0.678,36872.38,197720.957
603160.SH,20230203,53.4,54.41,52.98,54.13,53.46,0.67,1.2533,33428.43,179631.884
603160.SH,20230206,53.91,54.35,53.32,53.85,54.13,-0.28,-0.5173,24991.88,134446.618
